,TransactionID,isFraud,TransactionDT,TransactionAmt,ProductCD,card4,card6,P_emaildomain,R_emaildomain,addr1,addr2,dist1,dist2
203,2987203,1,89760,445.0,W,visa,credit,aol.com,,251.0,87.0,,
240,2987240,1,90193,37.098,C,visa,credit,hotmail.com,hotmail.com,,,,
243,2987243,1,90246,37.098,C,visa,credit,hotmail.com,hotmail.com,,,,
245,2987245,1,90295,37.098,C,visa,credit,hotmail.com,hotmail.com,,,,
288,2987288,1,90986,155.52100000000002,C,visa,credit,outlook.com,outlook.com,,,,
367,2987367,1,92350,225.0,R,mastercard,credit,gmail.com,gmail.com,472.0,87.0,,
405,2987405,1,92999,90.57,C,mastercard,credit,gmail.com,gmail.com,,,,
630,2987630,1,97843,12.325999999999999,C,mastercard,debit,gmail.com,gmail.com,,,,7.0
683,2987683,1,99584,124.344,C,mastercard,debit,gmail.com,gmail.com,,,,7.0
736,2987736,1,100591,100.0,W,visa,credit,yahoo.com,,231.0,87.0,,
779,2987779,1,102154,10.0,S,mastercard,debit,,gmail.com,441.0,87.0,,
780,2987780,1,102188,10.0,S,mastercard,debit,,gmail.com,441.0,87.0,,
781,2987781,1,102193,10.0,S,mastercard,debit,,gmail.com,441.0,87.0,,
869,2987869,1,106603,83.38,C,visa,credit,gmail.com,gmail.com,,,,9.0
923,2987923,1,108912,774.0,W,mastercard,debit,gmail.com,,330.0,87.0,,
1062,2988062,1,115800,90.87200000000001,C,visa,credit,gmail.com,gmail.com,,,,
1064,2988064,1,116130,90.87200000000001,C,visa,credit,gmail.com,gmail.com,,,,
1069,2988069,1,116296,90.87200000000001,C,visa,credit,gmail.com,gmail.com,,,,
1081,2988081,1,117398,2161.0,W,visa,debit,,,251.0,87.0,773.0,
1097,2988097,1,119184,159.0,W,visa,debit,gmail.com,,269.0,87.0,1.0,
1169,2988169,1,125042,80.0,W,visa,credit,yahoo.com,,330.0,87.0,,
1173,2988173,1,125295,97.0,W,visa,credit,yahoo.com,,330.0,87.0,212.0,
1186,2988186,1,126297,80.0,W,visa,debit,yahoo.com,,330.0,87.0,,
1195,2988195,1,126638,80.0,W,visa,debit,yahoo.com,,330.0,87.0,,
1235,2988235,1,128602,40.0,W,mastercard,debit,gmail.com,,204.0,87.0,,
1250,2988250,1,129171,226.0,W,visa,debit,yahoo.com,,330.0,87.0,4.0,
1261,2988261,1,129512,160.5,W,visa,debit,aol.com,,420.0,87.0,,
1269,2988269,1,129710,226.0,W,mastercard,debit,aol.com,,310.0,87.0,1550.0,
1274,2988274,1,129834,280.0,W,visa,debit,aol.com,,420.0,87.0,5.0,
1282,2988282,1,130050,117.0,W,visa,debit,aol.com,,420.0,87.0,,
1355,2988355,1,131866,35.0,W,mastercard,debit,gmail.com,,204.0,87.0,,
1612,2988612,1,136448,80.0,W,visa,debit,,,325.0,87.0,,
1643,2988643,1,136950,110.0,W,visa,debit,yahoo.com,,272.0,87.0,,
1680,2988680,1,137550,80.0,W,visa,debit,yahoo.com,,330.0,87.0,,
1694,2988694,1,137754,240.0,W,mastercard,credit,yahoo.com,,251.0,87.0,,
1702,2988702,1,137879,450.0,H,visa,credit,gmail.com,gmail.com,325.0,87.0,,
1704,2988704,1,137916,15.0,W,visa,debit,,,325.0,87.0,,
1706,2988706,1,137934,450.0,H,visa,credit,gmail.com,gmail.com,325.0,87.0,,
1732,2988732,1,138293,136.99,W,visa,debit,gmail.com,,441.0,87.0,5.0,
1966,2988966,1,141106,900.0,W,visa,debit,,,325.0,87.0,,
1992,2988992,1,141351,994.0,W,visa,debit,,,325.0,87.0,2.0,
2000,2989000,1,141458,40.24,C,visa,credit,hotmail.com,hotmail.com,,,,7.0
2007,2989007,1,141482,59.0,W,mastercard,debit,,,387.0,87.0,,
2041,2989041,1,141896,100.0,W,mastercard,debit,,,143.0,87.0,,
2059,2989059,1,142107,100.0,W,visa,credit,hotmail.com,,204.0,87.0,,
2080,2989080,1,142370,117.0,W,visa,credit,gmail.com,,204.0,87.0,5.0,
2116,2989116,1,142819,250.0,R,mastercard,debit,gmail.com,gmail.com,184.0,87.0,,
2302,2989302,1,144759,146.0,W,mastercard,debit,gmail.com,,272.0,87.0,0.0,
2357,2989357,1,145327,226.0,W,mastercard,debit,,,433.0,87.0,468.0,
2367,2989367,1,145405,117.0,W,mastercard,debit,gmail.com,,272.0,87.0,0.0,
2424,2989424,1,146014,428.73,W,visa,credit,yahoo.com,,324.0,87.0,,
2469,2989469,1,146351,75.0,W,visa,debit,gmail.com,,126.0,87.0,,
2544,2989544,1,147095,632.0,W,mastercard,debit,yahoo.com,,325.0,87.0,2.0,
2569,2989569,1,147348,49.0,W,mastercard,debit,gmail.com,,123.0,87.0,,
2598,2989598,1,147621,100.0,S,discover,credit,,gmail.com,123.0,87.0,,
2635,2989635,1,148007,30.029,C,visa,credit,hotmail.com,hotmail.com,,,,
2829,2989829,1,149944,65.0,W,visa,debit,,,204.0,87.0,11.0,
2940,2989940,1,150907,335.0,W,visa,debit,yahoo.com,,299.0,87.0,,
2969,2989969,1,151154,335.0,W,visa,debit,yahoo.com,,299.0,87.0,,
3015,2990015,1,151597,51.357,C,visa,debit,gmail.com,gmail.com,,,,
3136,2990136,1,152743,225.0,R,visa,credit,gmail.com,gmail.com,448.0,87.0,,
3196,2990196,1,153263,225.0,R,american express,credit,gmail.com,gmail.com,325.0,87.0,,
3200,2990200,1,153305,225.0,R,american express,credit,gmail.com,gmail.com,325.0,87.0,,
3277,2990277,1,153996,100.0,W,visa,credit,,,204.0,87.0,,
3444,2990444,1,155506,117.0,W,visa,credit,,,204.0,87.0,,
3559,2990559,1,156717,69.785,C,visa,credit,gmail.com,gmail.com,,,,
3583,2990583,1,156975,117.0,W,mastercard,debit,gmail.com,,272.0,87.0,0.0,
3644,2990644,1,157520,14.26,C,mastercard,credit,outlook.com,outlook.com,,,,
3669,2990669,1,157735,14.26,C,mastercard,credit,outlook.com,outlook.com,,,,
3698,2990698,1,157997,10.0,S,mastercard,debit,,gmail.com,441.0,87.0,,
3704,2990704,1,158071,10.0,S,mastercard,debit,,gmail.com,441.0,87.0,,
3706,2990706,1,158108,10.0,S,mastercard,debit,,gmail.com,337.0,87.0,,
3858,2990858,1,159829,58.004,C,mastercard,credit,gmail.com,gmail.com,,,,
3864,2990864,1,159876,58.004,C,mastercard,credit,gmail.com,gmail.com,,,,
3870,2990870,1,159922,200.0,R,mastercard,credit,anonymous.com,anonymous.com,441.0,87.0,,
3874,2990874,1,159948,200.0,R,mastercard,credit,anonymous.com,anonymous.com,441.0,87.0,,
3876,2990876,1,159990,527.0,W,mastercard,debit,gmail.com,,299.0,87.0,,
3881,2990881,1,160033,40.0,W,visa,credit,,,204.0,87.0,,
3906,2990906,1,160261,150.0,R,mastercard,credit,gmail.com,gmail.com,204.0,87.0,,
3907,2990907,1,160284,49.0,W,visa,credit,,,204.0,87.0,48.0,
3909,2990909,1,160298,150.0,R,mastercard,credit,gmail.com,gmail.com,204.0,87.0,,
3935,2990935,1,160580,77.0,W,mastercard,debit,gmail.com,,387.0,87.0,8.0,
3965,2990965,1,160855,150.0,R,visa,credit,gmail.com,gmail.com,204.0,87.0,,
4058,2991058,1,161827,83.742,C,mastercard,credit,gmail.com,gmail.com,,,,
4070,2991070,1,161957,83.742,C,mastercard,credit,gmail.com,gmail.com,,,,
4078,2991078,1,162015,83.742,C,mastercard,credit,gmail.com,gmail.com,,,,
4092,2991092,1,162108,83.742,C,mastercard,credit,gmail.com,gmail.com,,,,
4100,2991100,1,162149,83.742,C,mastercard,credit,gmail.com,gmail.com,,,,
4229,2991229,1,163253,1187.0,W,visa,debit,gmail.com,,220.0,87.0,10.0,
4258,2991258,1,163586,140.0,W,visa,debit,,,122.0,87.0,,
4270,2991270,1,163785,150.0,W,visa,debit,anonymous.com,,269.0,87.0,,
4305,2991305,1,164197,59.0,W,visa,credit,gmail.com,,512.0,87.0,,
4308,2991308,1,164210,46.765,C,visa,credit,anonymous.com,anonymous.com,,,,
4340,2991340,1,164570,29.0,W,visa,debit,,,337.0,87.0,32.0,
4519,2991519,1,166414,443.0,W,mastercard,debit,gmail.com,,299.0,87.0,2.0,
4632,2991632,1,167571,400.0,W,visa,debit,gmail.com,,264.0,87.0,,
4645,2991645,1,167768,250.0,R,visa,credit,gmail.com,gmail.com,330.0,87.0,,
4650,2991650,1,167823,250.0,R,visa,credit,gmail.com,gmail.com,330.0,87.0,,
4688,2991688,1,168199,68.5,W,visa,debit,gmail.com,,330.0,87.0,,
4748,2991748,1,168997,117.0,W,visa,credit,gmail.com,,472.0,87.0,,
4763,2991763,1,169185,5.0,S,mastercard,credit,,yahoo.com,272.0,87.0,,
4770,2991770,1,169237,107.95,W,visa,credit,,,472.0,87.0,2.0,
