,TransactionID,DeviceType,DeviceInfo
203,2987689,desktop,Windows
240,2987789,mobile,
243,2987792,mobile,Moto E (4) Build/NMA26.42-19
245,2987796,mobile,SM-G930V Build/NRD90M
288,2987951,desktop,Windows
367,2988696,mobile,iOS Device
405,2988880,mobile,iOS Device
630,2990196,desktop,Windows
683,2990511,desktop,Windows
736,2990793,mobile,iOS Device
779,2991013,desktop,Windows
780,2991017,desktop,Trident/7.0
781,2991027,desktop,Trident/7.0
869,2991452,mobile,iOS Device
923,2991842,desktop,Windows
1062,2992503,desktop,Windows
1064,2992521,desktop,
1069,2992547,mobile,iOS Device
1081,2992594,mobile,Ilium X710 Build/MRA58K
1097,2992646,mobile,LGMP260 Build/NRD90U
1169,2992894,desktop,Windows
1173,2992901,desktop,MacOS
1186,2992958,desktop,
1195,2992994,desktop,MacOS
1235,2993121,mobile,CAM-L03 Build/HUAWEICAM-L03
1250,2993175,mobile,iOS Device
1261,2993205,mobile,SM-J727U Build/NRD90M
1269,2993233,desktop,
1274,2993263,desktop,MacOS
1282,2993294,mobile,iOS Device
1355,2993666,mobile,SM-J120H Build/LMY47V
1612,2994804,mobile,iOS Device
1643,2994964,desktop,Windows
1680,2995140,desktop,MacOS
1694,2995196,mobile,MacOS
1702,2995241,mobile,iOS Device
1704,2995259,desktop,Windows
1706,2995262,mobile,iOS Device
1732,2995396,mobile,iOS Device
1966,2996447,desktop,
1992,2996518,desktop,Trident/7.0
2000,2996541,mobile,iOS Device
2007,2996562,desktop,Windows
2041,2996652,mobile,
2059,2996698,desktop,MacOS
2080,2996765,desktop,Windows
2116,2996864,mobile,iOS Device
2302,2997475,desktop,MacOS
2357,2997671,mobile,iOS Device
2367,2997730,desktop,MacOS
2424,2997916,mobile,iOS Device
2469,2998057,mobile,iOS Device
2544,2998317,desktop,Windows
2569,2998399,desktop,Windows
2598,2998508,desktop,Windows
2635,2998692,mobile,iOS Device
2829,2999404,mobile,
2940,2999760,mobile,iOS Device
2969,2999873,mobile,SM-G920V Build/NRD90M
3015,3000029,desktop,
3136,3000476,desktop,rv:11.0
3196,3000701,mobile,SM-G955U Build/NRD90M
3200,3000724,desktop,Trident/7.0
3277,3001040,mobile,iOS Device
3444,3001914,desktop,Windows
3559,3002309,desktop,Windows
3583,3002410,mobile,Moto Z (2
3644,3002684,mobile,HUAWEI VNS-L23 Build/HUAWEIVNS-L23
3669,3002809,desktop,Windows
3698,3002923,desktop,Windows
3704,3002976,desktop,
3706,3003002,desktop,Trident/7.0
3858,3003580,desktop,Windows
3864,3003596,desktop,Windows
3870,3003617,desktop,Windows
3874,3003650,desktop,Windows
3876,3003664,mobile,iOS Device
3881,3003685,desktop,
3906,3003753,desktop,
3907,3003758,mobile,SM-G955U Build/NRD90M
3909,3003763,desktop,Windows
3935,3003843,desktop,Windows
3965,3003967,desktop,
4058,3004175,desktop,
4070,3004213,desktop,MacOS
4078,3004236,mobile,LG-H820 Build/NRD90U
4092,3004280,mobile,iOS Device
4100,3004336,desktop,Windows
4229,3004753,desktop,Windows
4258,3004837,desktop,MacOS
4270,3004867,desktop,
4305,3004994,desktop,
4308,3005003,mobile,MotoG3 Build/MPIS24.65-33.1-2-16
4340,3005095,mobile,iOS Device
4519,3005756,desktop,Windows
4632,3006083,desktop,MacOS
4645,3006135,mobile,SAMSUNG SM-J727T1 Build/NRD90M
4650,3006164,mobile,Moto C Plus Build/NRD90M.05.022
4688,3006291,desktop,Windows
4748,3006480,mobile,iOS Device
4763,3006529,mobile,KFGIWI Build/LVY48F
4770,3006558,desktop,Windows
4792,3006657,desktop,Windows
4797,3006669,desktop,MacOS
4800,3006680,desktop,MacOS
4849,3006869,mobile,GT-I8190L Build/JZO54K
4863,3006934,desktop,MacOS
4879,3006990,,
4954,3007233,desktop,Windows
5029,3007459,mobile,iOS Device
5056,3007558,mobile,SM-G950U Build/NRD90M
5081,3007651,desktop,Windows
5190,3007945,mobile,SAMSUNG SM-G930P Build/NRD90M
5196,3007967,desktop,Windows
5205,3007982,desktop,
5212,3007999,mobile,LG-D680 Build/KOT49I
5234,3008053,mobile,F5121 Build/34.3.A.0.228
5240,3008071,mobile,SM-A300H Build/LRX22G
5358,3008382,desktop,Windows
5381,3008463,mobile,
5395,3008502,desktop,Windows
5405,3008530,mobile,iOS Device
5511,3008841,desktop,Windows
5608,3009122,desktop,
5615,3009141,desktop,Windows
5617,3009144,desktop,Windows
5621,3009153,desktop,Windows
5626,3009179,desktop,Windows
5631,3009200,mobile,iOS Device
5632,3009202,mobile,iOS Device
5646,3009249,desktop,Windows
5658,3009285,desktop,Windows
5661,3009292,desktop,Windows
5694,3009394,desktop,Windows
5737,3009532,mobile,iOS Device
5747,3009581,mobile,
5749,3009584,desktop,Windows
5755,3009601,desktop,Windows
5758,3009611,mobile,iOS Device
5760,3009618,desktop,Windows
5764,3009632,desktop,Windows
5794,3009717,desktop,Trident/7.0
5799,3009738,desktop,Windows
5894,3010042,desktop,Windows
5896,3010044,desktop,Trident/7.0
5962,3010246,mobile,HTC Desire 530 Build/MMB29M
6001,3010387,,
6011,3010403,desktop,Trident/7.0
6012,3010414,desktop,Windows
6125,3010828,desktop,Trident/7.0
6126,3010830,desktop,Windows
6128,3010837,desktop,Windows
6154,3010917,desktop,MacOS
6220,3011117,mobile,iOS Device
6238,3011175,mobile,SM-G900V Build/MMB29M
6267,3011249,desktop,
6269,3011253,desktop,
6383,3011549,mobile,SM-N950U Build/NMF26X
6407,3011630,mobile,CAM-L03 Build/HUAWEICAM-L03
6431,3011682,desktop,
6443,3011698,desktop,
6510,3011867,desktop,MacOS
6578,3012070,desktop,Windows
6583,3012076,desktop,MacOS
6630,3012210,desktop,MacOS
6717,3012429,desktop,Windows
6729,3012474,desktop,rv:54.0
6828,3012690,desktop,Windows
6839,3012715,desktop,Windows
6924,3012962,desktop,Windows
6929,3012971,desktop,Windows
6949,3013027,desktop,Windows
7012,3013200,mobile,iOS Device
7108,3013451,mobile,SAMSUNG
7121,3013491,desktop,MacOS
7123,3013494,desktop,Windows
7126,3013498,desktop,Windows
7379,3014212,desktop,Windows
7382,3014220,desktop,Windows
7443,3014419,,
7462,3014487,mobile,iOS Device
7467,3014501,desktop,MacOS
7612,3014973,desktop,Windows
7663,3015091,desktop,Windows
7713,3015189,desktop,Windows
7876,3015501,mobile,iOS Device
7881,3015510,desktop,MacOS
7991,3015869,mobile,iOS Device
8007,3015915,desktop,Windows
8021,3015949,mobile,KFTBWI Build/LVY48F
8029,3015962,desktop,Windows
8056,3016046,mobile,iOS Device
8075,3016123,desktop,Windows
8079,3016129,desktop,Windows
8089,3016146,desktop,MacOS
8090,3016147,desktop,Windows
8095,3016165,desktop,Windows
8123,3016249,desktop,Windows
8141,3016305,desktop,Windows
8149,3016325,mobile,iOS Device
8157,3016349,mobile,iOS Device
8172,3016380,mobile,
8176,3016394,mobile,iOS Device
8267,3016665,desktop,Windows
8293,3016746,mobile,iOS Device
8311,3016808,desktop,Trident/7.0
8323,3016853,desktop,Windows
8355,3016958,mobile,F3213 Build/36.1.A.1.86
8369,3016993,desktop,Windows
8387,3017054,desktop,Windows
8395,3017080,desktop,Windows
8416,3017128,desktop,Windows
8418,3017132,desktop,Windows
8488,3017295,desktop,MacOS
8492,3017311,desktop,MacOS
8499,3017326,mobile,Pixel 2 Build/OPM1.171019.011
8504,3017334,desktop,Windows
8516,3017372,mobile,SM-J701M Build/NRD90M
8532,3017424,desktop,Windows
8594,3017627,mobile,ALE-L23 Build/HuaweiALE-L23
8602,3017647,desktop,rv:11.0
8619,3017682,desktop,Windows
8629,3017707,desktop,Windows
8699,3017928,desktop,Trident/7.0
8705,3017957,desktop,Windows
8707,3017969,desktop,Windows
8711,3017986,mobile,Lenovo-A6020l36 Build/LMY47V
8715,3017994,desktop,
8769,3018152,desktop,Windows
8775,3018185,desktop,rv:11.0
8777,3018188,desktop,Windows
8783,3018207,desktop,Windows
8792,3018234,mobile,SM-G900V Build/MMB29M
8793,3018236,desktop,Windows
8801,3018269,desktop,Windows
8862,3018488,mobile,SM-T550 Build/NMF26X
8936,3018701,mobile,iOS Device
8976,3018844,mobile,Lenovo-A6020l36 Build/LMY47V
8979,3018853,,
9016,3018985,desktop,Windows
9041,3019051,desktop,MacOS
9144,3019330,mobile,SM-N950U Build/NMF26X
9232,3019484,mobile,iOS Device
9246,3019513,desktop,MacOS
9391,3019873,desktop,MacOS
9471,3020074,desktop,Windows
9479,3020091,desktop,Windows
9493,3020129,desktop,Windows
9503,3020154,mobile,iOS Device
9518,3020178,mobile,rv:57.0
9531,3020206,desktop,Windows
9535,3020215,mobile,SAMSUNG SM-G900A Build/MMB29M
9562,3020277,desktop,Windows
9564,3020283,desktop,Windows
9612,3020394,mobile,iOS Device
9639,3020452,mobile,iOS Device
9665,3020516,desktop,Windows
9677,3020549,desktop,Windows
9694,3020589,mobile,iOS Device
9742,3020728,desktop,Windows
9785,3020850,,
9786,3020851,desktop,Windows
9788,3020860,mobile,iOS Device
9790,3020863,mobile,iOS Device
9858,3021015,mobile,iOS Device
10016,3021434,mobile,iOS Device
10022,3021450,desktop,Windows
10046,3021528,desktop,MacOS
10136,3021752,desktop,
10243,3022106,desktop,Windows
10247,3022120,desktop,
10259,3022152,mobile,iOS Device
10266,3022166,desktop,Windows
10278,3022194,desktop,Windows
10306,3022262,mobile,XT1058 Build/LPAS23.12-21.7-1
10322,3022309,desktop,Trident/7.0
10339,3022368,desktop,MacOS
10352,3022414,desktop,Windows
10366,3022442,desktop,
10379,3022470,mobile,iOS Device
10390,3022485,desktop,Windows
10419,3022570,desktop,Windows
10458,3022668,desktop,MacOS
10592,3023024,mobile,SM-N950U Build/NMF26X
10610,3023060,desktop,Windows
10711,3023301,mobile,Nexus
10719,3023314,mobile,Moto G (4) Build/NPJS25.93-14-10
10776,3023417,mobile,
10787,3023436,desktop,Windows
10868,3023629,mobile,iOS Device
10887,3023679,desktop,Windows
10920,3023755,mobile,Ilium X710 Build/MRA58K
10925,3023765,desktop,MacOS
10946,3023815,desktop,MacOS
10990,3023914,mobile,iOS Device
11003,3023951,desktop,Trident/7.0
11019,3023987,desktop,Trident/7.0
11035,3024033,,
11043,3024049,desktop,Windows
11173,3024350,desktop,MacOS
11180,3024375,desktop,
11224,3024491,mobile,iOS Device
11237,3024509,desktop,MacOS
11241,3024517,desktop,MacOS
11243,3024519,mobile,
11250,3024537,mobile,
11292,3024616,mobile,iOS Device
11311,3024665,desktop,MacOS
11338,3024729,desktop,Windows
11397,3024890,mobile,iOS Device
11434,3024971,mobile,iOS Device
11499,3025107,mobile,SM-G920V Build/NRD90M
11544,3025208,mobile,Moto E (4) Build/NMA26.42-19
11613,3025386,mobile,iOS Device
11622,3025406,desktop,Windows
11638,3025453,desktop,rv:48.0
11645,3025473,mobile,iOS Device
11666,3025523,mobile,LG-H871
11697,3025613,desktop,Windows
11745,3025776,mobile,
11766,3025838,,
11812,3025949,mobile,LG-D693n Build/LRX22G
11855,3026051,desktop,Windows
11861,3026065,desktop,MacOS
11888,3026141,desktop,Windows
11898,3026172,mobile,iOS Device
11942,3026292,mobile,SM-G532M Build/MMB29T
12193,3026853,desktop,Windows
12200,3026871,desktop,
12282,3027037,mobile,Moto G (5) Plus Build/NPN25.137-72
12284,3027041,mobile,SM-G532M Build/MMB29T
12300,3027079,mobile,iOS Device
12324,3027159,mobile,iOS Device
12337,3027199,desktop,Trident/7.0
12347,3027223,desktop,Windows
12362,3027255,desktop,Windows
12429,3027422,mobile,iOS Device
12463,3027482,mobile,iOS Device
12467,3027491,desktop,Windows
12501,3027582,desktop,Windows
12505,3027591,desktop,Trident/7.0
12611,3027821,desktop,Windows
12617,3027833,mobile,iOS Device
12733,3028104,desktop,rv:11.0
12741,3028121,desktop,Windows
12748,3028134,desktop,rv:57.0
12785,3028209,desktop,
12806,3028249,desktop,Windows
12814,3028264,desktop,Trident/7.0
12815,3028266,mobile,iOS Device
12816,3028269,desktop,Windows
12817,3028271,desktop,Windows
12850,3028360,desktop,Windows
12857,3028373,desktop,Windows
13027,3028772,desktop,Trident/7.0
13028,3028775,,
13048,3028831,desktop,
13080,3028892,desktop,Windows
13083,3028901,desktop,Windows
13099,3028942,desktop,Trident/7.0
13108,3028960,mobile,SM-G532M Build/MMB29T
13134,3029020,mobile,iOS Device
13145,3029041,desktop,Windows
13167,3029105,desktop,Windows
13170,3029111,mobile,iOS Device
13180,3029132,desktop,MacOS
13198,3029162,desktop,Windows
13228,3029225,desktop,rv:11.0
13272,3029340,mobile,iOS Device
13280,3029361,,
13338,3029485,desktop,Windows
13368,3029554,desktop,Windows
13385,3029622,mobile,iOS Device
13393,3029638,desktop,MacOS
13448,3029784,desktop,Trident/7.0
13601,3030231,desktop,rv:57.0
13633,3030331,mobile,SM-A500FU Build/MMB29M
13650,3030390,mobile,iOS Device
13737,3030649,mobile,SM-N950F Build/NMF26X
13769,3030750,mobile,
14010,3031255,mobile,SM-J500M Build/LMY48B
14013,3031263,mobile,iOS Device
14024,3031298,,
14037,3031316,mobile,MHA-L09 Build/HUAWEIMHA-L09
14048,3031331,desktop,Trident/7.0
14052,3031338,desktop,
14109,3031438,desktop,Windows
14154,3031548,desktop,Windows
14172,3031600,desktop,Windows
14175,3031607,desktop,Windows
14204,3031694,desktop,Windows
14233,3031782,desktop,Windows
14289,3031912,desktop,
14473,3032317,desktop,Windows
14505,3032387,desktop,Windows
14510,3032396,mobile,iOS Device
14513,3032402,desktop,Windows
14556,3032499,mobile,iOS Device
14689,3032817,desktop,Windows
14694,3032824,desktop,rv:11.0
14728,3032913,desktop,
14787,3033056,desktop,Windows
14790,3033061,mobile,iOS Device
14792,3033065,mobile,iOS Device
14903,3033299,desktop,
14959,3033414,desktop,Windows
14977,3033455,desktop,Windows
14982,3033467,desktop,Trident/7.0
15079,3033686,mobile,iOS Device
15100,3033719,desktop,Trident/7.0
15117,3033756,desktop,Windows
15165,3033887,mobile,iOS Device
15188,3033940,desktop,Windows
15252,3034110,mobile,iOS Device
15265,3034165,desktop,
15328,3034389,desktop,MacOS
15341,3034430,mobile,iOS Device
15347,3034446,desktop,Windows
15355,3034458,desktop,MacOS
15386,3034547,desktop,MacOS
15406,3034603,desktop,Windows
15413,3034620,desktop,Windows
15489,3034819,desktop,Trident/7.0
15554,3034960,desktop,Windows
15638,3035135,mobile,iOS Device
15674,3035235,desktop,Windows
15769,3035428,mobile,
15800,3035485,desktop,Windows
15824,3035547,desktop,Windows
15829,3035552,,
15881,3035717,,
15894,3035746,desktop,Windows
15903,3035766,desktop,Windows
15923,3035820,desktop,Windows
15957,3035894,desktop,Trident/7.0
15976,3035942,desktop,MacOS
15994,3035988,desktop,MacOS
15999,3036003,desktop,Windows
16014,3036043,desktop,Windows
16030,3036077,desktop,Trident/7.0
16081,3036172,desktop,Windows
16101,3036212,desktop,Windows
16209,3036475,desktop,
16334,3036742,desktop,Windows
16336,3036745,desktop,Windows
16347,3036767,mobile,iOS Device
16356,3036782,desktop,MacOS
16358,3036786,desktop,MacOS
16397,3036873,desktop,MacOS
16410,3036902,desktop,Windows
16420,3036922,desktop,Windows
16433,3036946,desktop,Windows
16434,3036947,desktop,Windows
16439,3036957,desktop,Windows
16442,3036968,desktop,Windows
16447,3036976,desktop,
16484,3037075,desktop,Windows
16488,3037090,desktop,MacOS
16528,3037176,mobile,SM-G930V Build/NRD90M
16775,3037753,desktop,Windows
16792,3037787,mobile,iOS Device
16812,3037853,desktop,Windows
16819,3037870,desktop,Trident/7.0
16826,3037881,mobile,SAMSUNG-SM-G935A Build/NRD90M
16867,3037998,desktop,Windows
16980,3038289,desktop,MacOS
17004,3038364,mobile,TRT-L53 Build/HUAWEITRT-L53
17009,3038381,desktop,MacOS
17188,3038899,mobile,iOS Device
17260,3039097,mobile,
17262,3039102,mobile,
17339,3039273,mobile,SM-N950U Build/NMF26X
17418,3039419,desktop,
17422,3039432,desktop,Windows
17423,3039434,desktop,Windows
17426,3039438,desktop,MacOS
17428,3039441,desktop,MacOS
17432,3039453,mobile,BBB100-3
17451,3039497,desktop,Windows
17610,3039787,desktop,Windows
17622,3039812,mobile,iOS Device
17626,3039819,,
17637,3039857,desktop,Windows
17638,3039859,mobile,XT1254 Build/MCG24.251-5-5
17645,3039870,desktop,Windows
17648,3039879,desktop,Windows
17676,3039974,desktop,MacOS
17684,3039994,desktop,Trident/7.0
17720,3040108,desktop,Windows
17725,3040126,desktop,Windows
17730,3040132,desktop,Trident/7.0
17858,3040441,desktop,Trident/7.0
18051,3040842,desktop,rv:11.0
18098,3040945,desktop,Windows
18127,3041000,mobile,iOS Device
18147,3041050,desktop,MacOS
18230,3041252,desktop,Windows
18315,3041432,desktop,Windows
18373,3041585,desktop,Windows
18375,3041590,desktop,MacOS
18382,3041600,mobile,iOS Device
